audit_task_id,label_id,gsv_panorama_id_x,label_type,severity,correct,high_quality_user,geometry,gsv_panorama_id_y,zoom,heading,pitch,photographer_heading,photographer_pitch,user_id,lat,lng,cluster_id,count,false_positive,distance,tag_list,description,tag_count
8,59,7l-j4D7uhfKRQPpYXIU59w,Obstacle,2.0,True,True,POINT (-74.03707122802734 40.94615936279297),7l-j4D7uhfKRQPpYXIU59w,3,225.5736541748047,-11.361607551574709,20.765853881835938,0.262733459472656,503d2482-420f-454e-8118-aac2d22592aa,40.94615936279297,-74.03707122802734,115,8,0,10.61477405241265,1.0,0.0,1.0
18,137,adXdsY189n44f0_ae5Hptg,NoCurbRamp,5.0,False,True,POINT (-74.03673553466797 40.96704864501953),adXdsY189n44f0_ae5Hptg,1,278.3253479003906,-27.1200008392334,291.72418212890625,3.633377075195312,e86fdc72-c79d-4cdc-b5b2-8ef4859141d2,40.96704864501953,-74.03673553466797,403,6,0,1.63838859296046,1.0,0.0,1.0
18,139,adXdsY189n44f0_ae5Hptg,SurfaceProblem,1.0,True,True,POINT (-74.03650665283203 40.96693420410156),adXdsY189n44f0_ae5Hptg,2,158.08428955078125,-17.28071403503418,291.72418212890625,3.633377075195312,e86fdc72-c79d-4cdc-b5b2-8ef4859141d2,40.96693420410156,-74.03650665283203,162,10,0,21.534605989191963,1.0,0.0,2.0
18,142,adXdsY189n44f0_ae5Hptg,SurfaceProblem,1.0,True,True,POINT (-74.03662109375 40.96712112426758),adXdsY189n44f0_ae5Hptg,2,324.1557006835937,-22.816429138183597,291.72418212890625,3.633377075195312,e86fdc72-c79d-4cdc-b5b2-8ef4859141d2,40.96712112426758,-74.03662109375,2233,4,0,34.130405897203,1.0,0.0,2.0
19,167,QnbhyLuq-5js6HTPvM7sKw,NoSidewalk,,True,True,POINT (-74.03386688232422 40.96540451049805),QnbhyLuq-5js6HTPvM7sKw,1,150.875,-21.78348159790039,5.927902698516846,-0.361236572265625,e86fdc72-c79d-4cdc-b5b2-8ef4859141d2,40.96540451049805,-74.03386688232422,2886,2,0,6.722621964800925,0.0,0.0,0.0
19,180,Sfr-82oAfAdpFdF7lriYRQ,NoSidewalk,,True,True,POINT (-74.03421783447266 40.96491622924805),Sfr-82oAfAdpFdF7lriYRQ,1,191.0,-14.095982551574709,185.2100524902344,1.057952880859375,e86fdc72-c79d-4cdc-b5b2-8ef4859141d2,40.96491622924805,-74.03421783447266,2887,2,0,21.53022329134944,0.0,0.0,0.0
18,149,ZPQwHRwEFqkXNlzq_VuPZQ,SurfaceProblem,2.0,True,True,POINT (-74.036865234375 40.967185974121094),ZPQwHRwEFqkXNlzq_VuPZQ,3,312.2606201171875,-14.5625,287.2796325683594,2.883697509765625,e86fdc72-c79d-4cdc-b5b2-8ef4859141d2,40.96718597412109,-74.036865234375,2236,2,0,32.82343000853635,1.0,0.0,2.0
19,155,QnbhyLuq-5js6HTPvM7sKw,NoSidewalk,,True,True,POINT (-74.03400421142578 40.965450286865234),QnbhyLuq-5js6HTPvM7sKw,1,252.3125,-28.53348159790039,5.927902698516846,-0.361236572265625,e86fdc72-c79d-4cdc-b5b2-8ef4859141d2,40.965450286865234,-74.03400421142578,2888,2,0,31.295054470449617,0.0,0.0,0.0
19,173,v3YI4tuHQKRuUZc8lA003Q,NoSidewalk,,True,True,POINT (-74.03404235839844 40.9651985168457),v3YI4tuHQKRuUZc8lA003Q,1,191.0,-14.095982551574709,202.82534790039065,1.342330932617187,e86fdc72-c79d-4cdc-b5b2-8ef4859141d2,40.9651985168457,-74.03404235839844,235,8,0,9.76685729860702,0.0,0.0,0.0
19,175,6AKZouBuy0Xawiw6syblqA,NoSidewalk,,True,True,POINT (-74.0340576171875 40.965091705322266),6AKZouBuy0Xawiw6syblqA,1,191.0,-14.095982551574709,193.7032928466797,1.5322265625,e86fdc72-c79d-4cdc-b5b2-8ef4859141d2,40.965091705322266,-74.0340576171875,236,9,0,15.84591929509532,0.0,0.0,0.0
