label_id,ground_truth
8,1
9,1
10,1
11,1
12,1
13,1
14,1
22,1
23,1
24,1
25,1
26,1
28,1
29,1
30,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
78,1
80,1
110,1
111,1
118,1
119,1
120,1
121,1
122,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
138,1
139,1
140,1
141,1
142,1
148,1
193,1
198,1
234,1
236,0
261,1
347,1
431,1
439,1
441,1
449,1
450,1
452,1
454,1
455,0
457,0
458,1
459,1
460,1
461,1
462,1
463,1
464,1
472,1
473,1
475,1
476,1
478,1
486,1
488,1
526,1
528,1
539,1
540,1
541,1
542,1
545,0
546,0
547,1
548,0
549,0
550,0
551,0
552,0
559,1
560,1
565,1
573,1
634,1
637,1
654,1
661,1
685,1
697,1
707,1
729,1
737,1
738,1
739,1
755,1
757,1
761,1
767,1
770,1
775,1
777,1
822,1
828,1
832,1
833,1
835,1
837,1
842,1
876,1
878,1
879,1
880,1
881,1
882,1
883,1
884,1
886,1
891,1
894,1
895,1
896,1
897,1
898,1
901,1
905,1
907,1
908,1
910,1
912,1
913,0
916,1
918,1
919,1
920,1
938,0
940,1
945,1
947,0
954,1
958,0
960,0
961,0
967,0
969,1
972,1
976,1
979,1
982,1
990,1
1011,1
1012,1
1014,1
1016,1
1022,1
1027,1
1033,1
1038,1
1043,1
1046,1
1047,1
1048,0
1049,1
1050,1
1051,1
1055,1
1056,1
1061,1
1062,0
1063,0
1066,1
1074,1
1078,1
1079,0
1081,1
1087,0
1091,0
1093,0
1094,1
1095,1
1096,1
1099,1
1107,0
1109,1
1120,1
1126,0
1132,1
1139,1
1141,1
1142,1
1145,1
1146,1
1148,1
1150,1
1151,1
1153,1
1155,1
1156,1
1157,1
1159,1
1164,1
1166,1
1168,1
1173,1
1174,1
1179,1
1180,1
1182,1
1183,1
1184,1
1202,0
1209,1
1210,0
1211,1
1213,1
1214,1
1216,0
1217,1
1221,0
1222,0
1224,0
1230,1
1231,1
1232,1
1233,1
1234,1
1235,1
1236,1
1239,1
1244,1
1265,1
1266,1
1267,1
1268,1
1269,1
1270,1
1271,1
1273,1
1274,1
1281,1
1282,1
1283,1
1284,1
1285,1
1287,1
1288,1
1289,1
1290,1
1291,1
1295,1
1296,1
1297,1
1298,1
1303,0
1304,1
1305,1
1306,1
1307,1
1308,1
1309,1
1311,1
1315,1
1316,0
1317,1
1318,0
1319,1
1321,1
1322,1
1323,1
1324,1
1330,1
1331,1
1336,1
1337,1
1338,1
1341,1
1343,0
1344,0
1345,1
1356,0
1372,1
1377,1
1386,0
1393,1
1394,1
1395,1
1400,1
1403,1
1409,0
1410,0
1421,0
1426,0
1429,0
1431,0
1435,0
1437,0
1438,0
1444,1
1447,0
1452,0
1453,0
1457,0
1461,1
1464,0
1465,0
1467,0
1469,0
1470,0
1471,0
1486,0
1487,1
1488,0
1489,0
1490,0
1493,0
1497,0
1498,0
1499,0
1503,1
1504,1
1505,1
1506,1
1507,1
1512,1
1513,1
1515,1
1516,1
1518,1
1519,1
1520,1
1521,1
1522,1
1525,1
1527,0
1529,1
1530,1
1531,1
1532,0
1535,0
1538,1
1539,1
1540,0
1541,1
1543,1
1544,1
1545,1
1549,1
1550,1
1553,1
1554,1
1555,1
1556,1
1557,1
1558,0
1560,1
1561,1
1573,1
1574,1
1577,0
1586,0
1587,1
1592,1
1607,1
1608,1
1610,1
1612,1
1617,0
1648,0
1664,0
1665,0
1669,0
1670,0
1671,0
1672,0
1689,1
1695,0
1696,0
1697,0
1705,0
1706,0
1707,0
1708,0
1713,1
1723,1
1724,1
1725,1
1728,1
1729,1
1730,1
1731,1
1732,1
1733,1
1734,1
1735,1
1736,1
1737,1
1738,1
1739,1
1740,1
1745,0
1746,1
1747,1
1749,1
1750,1
1756,1
1758,1
1759,1
1760,1
1763,1
1764,1
1765,1
1766,0
1769,1
1770,1
1773,1
1774,0
1775,1
1777,1
1778,1
1779,1
1780,1
1781,0
1782,0
1783,1
1784,1
1785,0
1788,0
1789,1
1792,1
1794,1
1795,1
1796,1
1797,0
1798,1
1799,0
1802,0
1809,1
1810,1
1811,0
1812,0
1813,1
1819,1
1826,1
1827,0
1828,1
1830,1
1831,1
1833,1
1835,1
1846,1
1849,1
1850,1
1851,1
1853,1
1855,1
1856,1
1857,0
1860,1
1861,0
1865,1
1867,1
1871,1
1872,1
1873,1
1875,1
1877,1
1884,1
1885,1
1886,1
1889,1
1891,1
1892,1
1893,1
1894,1
1902,1
1903,1
1904,1
1906,0
1911,0
1912,1
1914,0
1917,1
1928,1
1946,1
1947,1
1948,0
1950,1
1956,1
1958,1
1962,0
1964,1
1966,1
1968,1
1969,1
1970,1
1971,1
1972,1
1973,1
1976,1
1978,1
1979,1
1982,1
1984,1
1988,1
1989,1
1990,1
1992,1
1994,1
1995,1
1996,1
1998,0
1999,1
2000,1
2005,0
2008,1
2009,1
2012,1
2013,0
2018,0
2020,0
2021,1
2022,1
2031,1
2032,1
2033,1
2035,1
2039,1
2042,1
2048,0
2050,1
2052,1
2053,1
2054,1
2055,1
2058,1
2060,1
2063,1
2064,0
2065,0
2066,1
2067,1
2068,1
2069,1
2071,1
2072,1
2074,0
2080,0
2081,0
2087,1
2090,1
2091,1
2092,1
2093,1
2094,1
2095,1
2096,1
2097,1
2098,1
2099,1
2100,1
2101,1
2102,1
2103,1
2104,1
2105,1
2106,1
2108,1
2113,1
2125,1
2126,1
2135,1
2137,1
2159,1
2160,1
2161,1
2165,1
2166,1
2179,1
2180,1
2181,1
2182,1
2183,1
2185,1
2186,1
2187,1
2188,1
2189,1
2191,1
2196,0
2197,1
2198,1
2199,0
2202,1
2203,1
2204,1
2205,1
2208,1
2209,1
2210,1
2212,1
2213,1
2214,1
2215,1
2216,1
2217,1
2218,1
2219,1
2221,1
2224,1
2232,1
2234,1
2235,1
2253,1
2284,1
2287,1
2288,1
2290,1
2293,1
