username,label_id,route_id,street_edge_id,neighborhood,label_type,lat,lng,gsv_panorama_id,time_created,severity,temporary,tag_list,description
jonfroehlich,116,1,27789,East Oradell,CurbRamp,40.95323181152344,-74.0179443359375,tw7_pOjIeJmDZOssQNeh7A,2023-08-02 16:29:06.517-07,1,f,,
jonfroehlich,117,1,27789,East Oradell,Crosswalk,40.953285217285156,-74.01792907714844,tw7_pOjIeJmDZOssQNeh7A,2023-08-02 16:29:10.8-07,1,f,,
jonfroehlich,118,1,27789,East Oradell,CurbRamp,40.953338623046875,-74.01795196533203,tw7_pOjIeJmDZOssQNeh7A,2023-08-02 16:29:12.327-07,1,f,,
jonfroehlich,119,1,27959,East Oradell,NoSidewalk,40.95311737060547,-74.01802825927734,tw7_pOjIeJmDZOssQNeh7A,2023-08-02 16:29:18.249-07,,f,,
jonfroehlich,120,1,27959,East Oradell,NoSidewalk,40.95317077636719,-74.01807403564453,tw7_pOjIeJmDZOssQNeh7A,2023-08-02 16:29:19.668-07,,f,,
jonfroehlich,122,1,27961,East Oradell,NoSidewalk,40.95323181152344,-74.01809692382812,tw7_pOjIeJmDZOssQNeh7A,2023-08-02 16:29:22.916-07,,f,,
jonfroehlich,123,1,27961,East Oradell,NoSidewalk,40.95329666137695,-74.01810455322266,tw7_pOjIeJmDZOssQNeh7A,2023-08-02 16:29:24.138-07,,f,,
jonfroehlich,124,1,27961,East Oradell,NoSidewalk,40.95335006713867,-74.01808166503906,tw7_pOjIeJmDZOssQNeh7A,2023-08-02 16:29:25.429-07,,f,,
jonfroehlich,125,1,27789,East Oradell,SurfaceProblem,40.953277587890625,-74.01783752441406,F28rVbZGVg-IieNfJtOymQ,2023-08-02 16:29:37.198-07,2,f,"height difference,cracks",
jonfroehlich,126,1,27789,East Oradell,SurfaceProblem,40.95317459106445,-74.01789855957031,F28rVbZGVg-IieNfJtOymQ,2023-08-02 16:29:45.448-07,2,f,"height difference,cracks",
jonfroehlich,127,1,27959,East Oradell,SurfaceProblem,40.953163146972656,-74.01789093017578,F28rVbZGVg-IieNfJtOymQ,2023-08-02 16:29:48.589-07,2,f,"height difference,uneven/slanted",
jonfroehlich,128,1,27789,East Oradell,SurfaceProblem,40.953269958496094,-74.017822265625,ZccHJPzrQ1RUPh1L6XYL8g,2023-08-02 16:29:59.056-07,3,f,height difference,
jonfroehlich,129,1,27789,East Oradell,SurfaceProblem,40.95326614379883,-74.01780700683594,ZccHJPzrQ1RUPh1L6XYL8g,2023-08-02 16:30:05.324-07,2,f,"height difference,uneven/slanted",
jonfroehlich,130,1,27789,East Oradell,SurfaceProblem,40.953277587890625,-74.01776885986328,ZccHJPzrQ1RUPh1L6XYL8g,2023-08-02 16:30:09.908-07,2,f,"height difference,uneven/slanted",
