label_id,label_type,severity,gsv_panorama_id,zoom,heading,pitch,photographer_heading,photographer_pitch,user_id,lat,lng,geometry,clustered,count,false_positive,distance,tag_list,description,tag_count,way_type,intersection_distance,labelModel_output
85057,Obstacle,2.0,f_Mibt-6nJU7HTN7kx5ZGQ,1,38.375,-21.875,164.13343811035156,0.335563659667968,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,47.61780548095703,-122.3318862915039,POINT (-122.3318862915039 47.61780548095703),0.0,7.0,0,12.18780665383011,0.0,1.0,0.0,-1,-1.0,0
85605,Obstacle,4.0,XiYvumy_gZw-xGm2s0oUZw,2,204.9375,-5.535714149475098,179.72116088867188,1.705192565917968,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,47.58557891845703,-122.30699157714844,POINT (-122.30699157714844 47.58557891845703),0.0,5.0,0,1.6430241224503035,1.0,0.0,1.0,-1,-1.0,0
86795,Obstacle,3.0,61V4jEcOF1OwoMf29IXaHg,1,244.375,-35.0,181.8443603515625,3.685989379882812,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,47.71161651611328,-122.28941345214844,POINT (-122.28941345214844 47.71161651611328),0.0,5.0,0,14.61259720787904,0.0,1.0,0.0,-1,-1.0,0
86810,Obstacle,3.0,fHvGqw9nLRV2Og7pc0KCow,1,65.0,-27.6875,282.0460205078125,4.098922729492187,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,47.693359375,-122.27684020996094,POINT (-122.27684020996094 47.693359375),0.0,8.0,0,16.452263735029423,1.0,0.0,1.0,-1,-1.0,0
86937,Obstacle,2.0,1diVDhdCFcxGLkFdfVCo_Q,3,143.375,-6.9375,150.65765380859375,-0.462974548339843,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,47.695613861083984,-122.2748794555664,POINT (-122.2748794555664 47.695613861083984),0.0,7.0,0,10.616348572406492,1.0,0.0,1.0,-1,-1.0,1
87398,Obstacle,2.0,-U4VSM22jpB_Na_jMTW45w,1,148.625,-19.8125,269.95556640625,-0.9216766357421872,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,47.690521240234375,-122.3611831665039,POINT (-122.3611831665039 47.690521240234375),0.0,6.0,0,11.36192704468809,0.0,1.0,0.0,-1,-1.0,0
87406,Obstacle,2.0,Uqf9K3_qtqnt_Eo1eWnkBw,3,100.90625,-5.046875,269.84918212890625,-0.5706634521484371,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,47.6905517578125,-122.36014556884766,POINT (-122.36014556884766 47.6905517578125),1.0,10.0,0,2.1696211258835496,1.0,0.0,1.0,-1,-1.0,1
88215,Obstacle,3.0,ktE0TRTbvq21-yYtbYV9Hw,3,200.234375,-7.178571224212646,179.77224731445312,-1.831962585449218,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,47.69763946533203,-122.36617279052734,POINT (-122.36617279052734 47.69763946533203),0.0,5.0,0,7.728326322534684,1.0,0.0,1.0,-1,-1.0,1
88276,Obstacle,4.0,hVnUC2AeLcEB2IPGG3O7qQ,1,260.9375,-11.5625,269.9644470214844,0.6292037963867181,4f2a3a9a-a5d5-4d57-b2d1-6be61a6c2184,47.6927604675293,-122.36136627197266,POINT (-122.36136627197266 47.6927604675293),1.0,7.0,0,20.257722949179986,1.0,1.0,1.0,-1,-1.0,0
88765,Obstacle,3.0,_-XEzFZTmrCAMfLvN226KQ,1,294.8125,-6.9375,90.0957260131836,-2.769134521484375,2e657863-b73b-4a36-a0ee-d7984432c3cb,47.51008605957031,-122.3825225830078,POINT (-122.38252258300781 47.51008605957031),0.0,7.0,0,13.789820060168736,1.0,0.0,1.0,-1,-1.0,0
