label_id,ground_truth
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,0
115,1
116,1
117,1
118,1
119,1
120,0
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
138,1
140,1
141,1
143,1
144,1
145,1
146,1
147,1
148,1
150,1
151,1
152,1
154,1
204,1
217,1
218,1
222,1
224,1
226,1
239,1
240,1
241,1
243,1
244,1
245,1
246,1
247,1
248,1
250,1
251,1
252,1
253,1
255,1
256,1
257,1
258,0
260,1
261,1
262,1
263,1
264,1
265,1
268,1
269,1
271,1
273,0
274,1
275,1
277,1
278,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
296,1
297,1
301,1
303,1
304,1
305,1
307,1
309,1
311,1
312,1
313,1
314,1
320,1
323,1
326,1
329,1
331,1
332,1
334,1
335,1
337,0
338,1
339,1
341,1
344,1
349,1
352,1
354,1
356,1
358,1
363,1
364,1
366,1
367,1
368,1
369,1
370,1
371,1
374,1
378,1
379,1
380,1
382,1
385,1
386,1
389,1
391,1
392,1
394,1
399,1
400,1
402,1
403,1
404,1
407,1
412,1
413,1
414,1
416,1
417,1
420,1
421,1
425,1
429,1
432,1
434,1
435,1
436,1
438,1
439,1
440,1
442,1
444,1
445,1
447,1
448,1
449,1
450,1
453,1
456,1
461,1
462,1
464,1
473,1
479,1
480,1
481,1
482,1
483,1
484,1
486,1
488,1
490,1
493,1
495,1
497,1
498,1
499,1
501,1
503,1
505,1
507,1
508,1
510,1
514,1
516,1
518,1
521,1
523,1
525,1
526,1
527,0
528,1
529,1
530,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
543,1
544,1
546,1
547,1
548,0
549,1
550,1
555,1
564,1
567,1
571,1
572,1
573,1
574,1
576,1
577,1
578,1
580,1
581,1
582,1
583,1
586,1
589,1
591,1
593,1
595,1
597,1
598,1
599,1
600,1
604,1
609,1
610,1
611,1
614,1
615,1
622,1
623,1
624,1
632,1
640,1
642,1
644,1
648,1
670,1
671,1
673,1
674,1
675,1
676,1
677,1
679,1
680,1
681,1
687,1
689,1
690,1
691,1
693,1
694,1
697,1
698,1
699,1
704,1
709,1
712,1
826,1
888,1
890,1
893,1
897,1
898,1
899,1
900,1
902,1
904,1
905,1
907,1
908,1
910,1
911,1
912,1
913,1
915,1
917,1
918,1
925,1
927,1
928,1
931,1
933,1
937,1
938,1
939,1
940,1
941,1
959,1
960,1
961,1
962,1
964,1
965,0
966,1
977,1
978,1
979,1
980,1
983,1
985,1
989,1
991,1
993,1
994,1
995,1
996,1
998,1
999,1
1000,1
1001,1
1002,0
1003,1
1004,1
1005,1
1006,1
1007,1
1009,1
1010,1
1020,0
1021,0
1024,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1041,0
1043,1
1044,1
1045,1
1046,1
1047,1
1048,1
1050,1
1051,1
1052,1
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,1
1061,1
1062,1
1063,1
1064,1
1065,1
1066,1
1067,1
1070,1
1071,1
1072,1
1073,1
1075,1
1078,1
1079,1
1080,1
1081,1
1082,1
1083,1
1084,1
1085,1
1086,1
1087,1
1088,1
1090,1
1094,0
1095,1
1096,1
1097,1
1098,1
1100,1
1103,1
1109,1
1110,1
1111,1
1113,1
1114,1
1117,1
1118,1
1119,1
1120,1
1121,1
1122,1
1123,1
1124,1
1125,1
1126,1
1127,1
1128,1
1129,1
1131,1
1132,1
1133,1
1134,1
1135,1
1136,1
1137,1
1140,1
1213,1
1217,1
1220,1
1221,1
1222,1
1223,1
1224,1
1225,1
1227,1
1228,1
1229,1
1230,1
1231,1
1233,1
1234,1
1235,1
1236,1
1237,1
1238,1
1239,1
1240,1
1241,1
1242,1
1243,0
1244,0
1245,0
1247,0
1248,1
1249,1
1250,0
1251,0
1252,1
1253,1
1254,0
1256,1
1257,1
1261,1
1263,1
1264,0
1265,1
1266,1
1267,1
1268,1
1269,0
1270,0
1271,1
1273,1
1274,1
1275,1
1276,1
1277,1
1278,1
1280,1
1281,1
1282,0
1284,1
1285,1
1286,1
1287,1
1289,1
1290,1
1291,1
1292,1
1295,1
1296,1
1297,1
1303,1
1304,1
1305,0
1306,1
1307,1
1308,1
1318,1
1319,0
1320,1
1321,1
1322,1
1323,0
1324,1
1325,1
1326,0
1327,1
1340,1
1342,1
1343,1
1344,1
1345,1
1346,1
1347,1
1348,1
1349,1
1350,1
1351,1
1352,1
1353,1
1354,1
1355,1
1356,1
1357,1
1358,1
1359,1
1360,1
1361,1
1362,1
1364,1
1365,1
1366,1
1367,1
1368,1
1369,1
1370,1
1371,1
1372,1
1373,1
1374,1
1375,1
1376,1
1377,1
1378,1
1379,1
1380,1
1381,1
1382,1
1383,1
1384,1
1385,1
1386,1
1387,1
1388,1
1389,1
1390,1
1391,1
1392,1
1393,1
1394,1
1395,1
