label_id,ground_truth
9,1
12,1
20,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
36,1
37,1
39,1
43,1
80,1
88,1
91,1
96,1
97,1
100,1
101,1
102,1
103,1
105,1
115,1
118,1
119,1
122,1
126,1
127,1
128,1
130,1
133,1
134,1
138,1
140,1
141,1
143,1
146,1
147,1
151,1
152,1
153,1
156,1
157,1
159,1
162,1
164,0
168,1
169,1
171,1
172,1
173,1
174,1
177,1
179,1
187,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
198,0
200,1
207,1
211,1
212,1
213,1
214,1
216,1
217,1
218,1
220,1
223,1
226,1
227,1
231,1
234,1
236,1
237,1
238,1
240,1
241,1
244,1
245,1
246,1
247,1
248,1
250,1
253,1
254,1
256,1
262,1
268,1
269,1
271,1
274,1
280,1
281,1
282,1
283,1
285,1
286,1
289,1
291,1
292,1
293,1
294,1
298,1
299,1
301,1
302,0
303,1
304,0
308,1
309,1
329,1
344,1
348,1
352,1
355,1
358,1
359,1
360,1
363,1
367,1
368,1
370,1
372,1
373,1
374,1
375,1
378,1
381,1
382,1
388,1
390,1
391,1
392,1
395,1
396,1
399,1
401,1
404,1
406,1
407,1
418,1
428,1
439,1
446,1
475,1
476,1
481,1
485,1
486,1
487,1
506,1
513,1
521,1
522,1
523,1
524,1
525,1
526,1
529,1
531,1
534,1
536,1
539,1
540,1
542,1
545,1
546,1
547,1
549,1
551,1
552,1
553,1
554,1
555,1
556,1
561,1
562,1
565,1
567,1
573,1
574,1
576,1
577,1
579,0
580,1
629,1
631,1
633,1
634,1
639,1
640,1
641,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
654,1
659,1
663,1
666,1
668,1
670,1
671,1
673,1
675,1
677,1
680,1
681,1
682,1
683,1
687,1
689,1
690,1
691,1
693,1
694,1
695,1
698,1
699,1
700,1
701,1
702,1
704,1
705,1
706,1
707,1
708,1
713,1
715,1
722,1
734,1
735,1
737,1
745,1
748,1
749,1
751,1
756,1
758,1
759,1
760,1
762,1
764,1
768,1
788,1
789,1
799,1
801,1
804,1
815,1
817,1
819,1
821,1
822,1
823,1
824,1
826,1
827,1
834,1
836,1
837,1
838,1
842,1
845,1
846,1
848,1
850,1
851,1
852,1
853,1
855,1
856,1
857,1
861,1
863,1
864,1
866,1
868,1
869,1
870,1
872,1
873,1
876,1
877,1
878,1
879,1
884,1
887,1
889,1
892,1
893,1
895,1
902,0
918,1
920,1
926,1
940,1
943,1
946,1
947,1
948,0
950,1
951,1
952,1
953,0
954,1
955,1
969,1
970,1
971,1
972,1
974,0
977,1
978,1
982,1
983,1
984,1
985,1
986,1
987,1
989,1
990,1
991,1
992,1
993,1
994,1
995,1
997,1
998,1
999,1
1001,1
1002,1
1003,1
1013,1
1014,1
1015,1
1016,0
1017,1
1020,0
1021,0
1022,0
1023,0
1025,1
1030,1
1032,0
1034,0
1036,1
1039,1
1040,1
1052,1
1061,1
1063,1
1071,1
1074,1
1080,1
1097,1
1128,0
1153,1
1156,1
1158,1
1159,1
1160,0
1166,0
1168,0
1169,0
1170,1
1178,1
1180,1
1181,1
1185,0
1197,1
1198,1
1199,1
1200,1
1202,1
1205,1
1216,1
1218,1
1224,1
1225,1
1233,1
1235,1
1236,1
1238,1
1242,1
1244,1
1260,1
1261,1
1262,1
1267,0
1269,0
1272,1
1278,1
1279,1
1280,1
1281,1
1287,1
1295,1
1310,1
1312,1
1313,1
1314,1
1316,1
1317,1
1318,1
1319,1
1320,0
1321,1
1322,0
1324,0
1332,1
1334,1
1335,1
1390,1
1396,0
1398,0
1402,0
1403,0
1405,1
1409,1
1410,1
1421,1
1424,1
1425,1
1431,0
1436,1
1437,1
1439,1
1440,1
1442,1
1444,1
1445,0
1447,1
1449,1
1452,1
1455,1
1456,1
1457,1
1459,1
1460,1
1461,1
1470,1
1479,0
1480,1
1490,1
1493,1
1495,0
1511,1
1522,1
1525,0
1529,0
1536,0
1539,0
1541,0
1544,0
1546,0
1548,0
1549,0
1550,0
1554,1
1631,1
1635,0
1636,0
1641,1
1643,1
1645,1
1651,0
1659,1
1661,1
1662,1
1665,1
1666,1
1667,1
1668,1
1669,0
1671,0
1672,1
1673,1
1676,0
1677,0
1680,1
1764,1
1766,1
1767,1
1768,1
1808,1
1814,1
1815,1
1822,1
1823,1
1832,1
1833,0
1834,1
1837,1
1853,1
1856,1
1915,0
1918,0
1922,1
1927,0
1928,0
1930,0
1934,0
1935,0
1937,0
1938,0
1940,0
1943,0
1945,0
1946,0
1951,0
1952,0
1957,1
1960,1
1961,0
1962,0
1964,1
1965,1
1966,0
1967,0
1971,1
1974,1
1975,1
1976,0
1978,0
1979,0
1980,0
1981,0
1992,1
1998,0
2001,1
2009,1
2012,0
2014,0
2016,0
2024,0
2029,1
2033,1
2035,1
2036,1
2040,1
2041,1
2043,1
2045,1
2047,1
2049,1
2050,1
2058,1
2059,1
2061,1
2062,1
2064,1
2065,1
2066,1
2073,1
2074,1
2075,1
2076,1
2077,1
2080,1
2084,1
2085,1
2089,1
2090,1
2095,1
2096,0
2097,0
2099,0
2101,1
2102,1
2142,1
2145,1
2154,1
2155,1
2157,1
2158,1
2160,1
2162,1
2166,1
2173,1
2194,1
2198,1
2200,1
2203,0
2204,0
2205,0
2209,0
2212,1
2218,1
2220,1
2234,1
2235,0
2237,1
2240,1
2247,1
2253,1
2256,1
2261,1
2284,1
2285,1
2286,1
2296,1
2300,1
2304,1
2305,1
2307,1
2327,1
2344,1
2345,1
2370,0
2371,0
2373,0
2377,0
2378,1
2379,1
2384,0
2385,0
2389,1
2391,0
2392,1
2396,1
2400,1
2407,1
2408,1
2430,0
2431,1
2447,1
2452,1
2453,1
2460,1
2463,1
2467,1
2484,1
2486,0
2487,1
2488,1
2489,1
2491,0
2492,1
2495,1
2506,1
2507,1
2508,1
2510,1
2512,1
2513,1
2515,1
2526,1
2528,1
2534,1
2540,1
2541,1
2543,1
2546,1
2547,1
2548,1
2550,1
2552,1
2554,1
2561,1
2563,1
2566,1
2570,1
2571,1
2588,1
2590,0
2591,0
2593,1
2595,0
2598,0
2599,0
2604,0
2606,1
